L,75,85,29,66,.439,4,17,.235,13,18,.722,5,27,14,7,5,8,28,28,58,.483,4,22,.182,25,34,.735,12,41,13,5,3,13,17
W,85,62,33,69,.478,8,22,.364,11,19,.579,12,45,20,10,2,10,21,22,65,.338,6,25,.240,12,19,.632,11,35,14,2,2,15,16
W (3 OT),104,101,35,88,.398,8,32,.250,26,42,.619,23,57,21,13,2,19,25,32,84,.381,10,33,.303,27,35,.771,15,47,13,10,2,24,31
W,73,60,29,59,.492,5,13,.385,10,20,.500,6,37,20,2,7,10,19,22,65,.338,3,14,.214,13,19,.684,9,36,9,7,0,5,18
L,77,82,28,58,.483,7,13,.538,14,20,.700,5,25,9,4,4,8,23,29,59,.492,5,18,.278,19,27,.704,11,37,9,5,4,9,22
L,50,70,20,58,.345,3,8,.375,7,11,.636,9,41,9,4,3,16,20,26,71,.366,5,23,.217,13,19,.684,15,38,12,11,11,6,11
W,91,34,34,66,.515,6,15,.400,17,27,.630,21,46,14,11,1,18,15,15,47,.319,3,18,.167,1,5,.200,5,18,0,8,1,24,20
L,65,75,25,53,.472,4,17,.235,11,17,.647,6,28,11,3,5,21,22,26,64,.406,3,17,.176,20,29,.690,11,31,15,12,3,10,19
W (1 OT),84,76,33,73,.452,8,14,.571,10,17,.588,13,38,19,11,4,9,20,26,53,.491,6,14,.429,18,30,.600,6,36,16,8,9,15,16
W,77,76,30,67,.448,2,12,.167,15,18,.833,15,42,6,7,3,16,18,29,68,.426,7,21,.333,11,16,.688,12,30,11,11,1,12,19
L,52,56,20,54,.370,2,14,.143,10,17,.588,12,37,8,5,3,18,23,17,55,.309,4,23,.174,18,26,.692,17,36,5,9,3,11,17
L,63,66,22,51,.431,5,14,.357,14,19,.737,7,29,9,7,5,16,14,29,64,.453,2,17,.118,6,13,.462,10,31,5,8,2,13,15
L (1 OT),81,89,27,65,.415,6,19,.316,21,36,.583,15,42,9,10,10,20,25,31,71,.437,8,22,.364,19,25,.760,9,32,17,12,7,15,23
W,86,77,29,62,.468,8,19,.421,20,24,.833,10,35,16,8,4,13,16,27,58,.466,10,28,.357,13,14,.929,3,22,12,6,2,16,18
W,68,57,23,47,.489,5,14,.357,17,23,.739,8,31,12,10,7,22,20,24,64,.375,5,14,.357,4,10,.400,13,29,10,9,0,18,20
W,104,59,41,67,.612,10,17,.588,12,17,.706,9,43,26,9,5,8,12,23,67,.343,5,22,.227,8,13,.615,9,27,13,6,2,14,14
W,82,53,35,59,.593,6,16,.375,6,15,.400,5,36,19,10,9,9,18,18,54,.333,4,20,.200,13,21,.619,7,28,7,4,2,14,14
W (1 OT),82,78,32,73,.438,4,19,.211,14,23,.609,16,47,15,2,5,10,18,26,64,.406,11,35,.314,15,23,.652,10,38,11,4,3,12,22
W,85,56,30,56,.536,13,21,.619,12,19,.632,4,24,22,6,0,4,15,22,47,.468,5,16,.313,7,18,.389,7,31,13,3,2,17,22
W,79,74,31,59,.525,5,12,.417,12,24,.500,9,34,7,3,1,9,15,29,59,.492,8,17,.471,8,12,.667,5,28,15,1,6,8,18
L,75,91,24,57,.421,4,17,.235,23,27,.852,11,30,7,6,6,12,16,32,58,.552,19,33,.576,8,9,.889,5,28,23,7,2,12,19
L,69,78,25,63,.397,9,23,.391,10,20,.500,11,40,10,7,1,12,22,28,64,.438,8,18,.444,14,24,.583,12,41,16,5,1,9,17
L,76,82,31,64,.484,2,6,.333,12,15,.800,10,36,12,5,3,10,18,27,59,.458,13,32,.406,15,22,.682,8,30,14,6,4,8,14
L,80,83,34,60,.567,7,17,.412,5,7,.714,7,27,12,4,5,10,17,30,57,.526,6,18,.333,17,25,.680,6,25,11,7,1,5,11
W,81,65,32,63,.508,3,10,.300,14,25,.560,12,41,16,4,2,4,18,21,60,.350,10,35,.286,13,22,.591,10,29,11,1,2,8,25
W,71,64,27,47,.574,3,8,.375,14,25,.560,3,33,12,4,2,17,18,22,65,.338,4,20,.200,16,20,.800,9,32,9,12,2,10,21
L,59,68,20,54,.370,6,18,.333,13,22,.591,8,28,12,5,4,7,24,22,49,.449,5,14,.357,19,25,.760,6,36,13,5,3,10,21
W,82,67,25,50,.500,1,11,.091,31,39,.795,8,34,18,8,3,10,20,25,60,.417,7,30,.233,10,15,.667,7,26,14,5,1,12,26
W,68,63,21,44,.477,3,9,.333,23,35,.657,2,22,10,6,4,8,17,22,54,.407,2,18,.111,17,21,.810,8,31,5,4,4,13,22
L,73,80,30,65,.462,4,9,.444,9,14,.643,13,36,12,5,3,10,15,29,56,.518,11,20,.550,11,13,.846,3,25,19,5,6,10,11
W,74,64,26,50,.520,6,11,.545,16,25,.640,8,35,10,6,6,11,19,23,54,.426,4,13,.308,14,18,.778,5,23,9,7,4,8,22
W,89,56,38,67,.567,8,17,.471,5,10,.500,16,45,15,10,3,10,20,16,52,.308,8,31,.258,16,24,.667,8,22,9,6,4,11,13
W (1 OT),80,78,30,57,.526,1,9,.111,19,30,.633,9,38,14,6,5,13,26,25,61,.410,6,18,.333,22,30,.733,8,27,13,6,1,10,24
